Borough,Postcode,YearMonth,IncidentCount,Fatality,Injury,AvgTemp,AvgPrecip,HVI
Bronx,10451,2024-02,1,0,1,35.5,3.1,5.0
Bronx,10451,2024-03,1,0,1,42.7,4.4,5.0
Bronx,10451,2024-04,1,0,1,53.3,4.5,5.0
Bronx,10451,2024-06,3,1,2,71.7,4.4,5.0
Bronx,10451,2024-07,1,0,2,76.7,4.6,5.0
Bronx,10451,2024-08,1,0,1,75.5,4.4,5.0
Bronx,10451,2024-12,1,0,1,37.8,4.0,5.0
Bronx,10452,2024-04,2,0,2,53.3,4.5,5.0
Bronx,10452,2024-05,3,0,3,62.6,4.2,5.0
Bronx,10452,2024-06,2,0,2,71.7,4.4,5.0
Bronx,10452,2024-07,2,0,1,76.7,4.6,5.0
Bronx,10452,2024-10,1,0,1,57.2,4.4,5.0
Bronx,10453,2024-03,1,0,1,42.7,4.4,5.0
Bronx,10453,2024-08,1,0,0,75.5,4.4,5.0
Bronx,10453,2024-10,2,0,2,57.2,4.4,5.0
Bronx,10453,2024-12,1,0,0,37.8,4.0,5.0
Bronx,10454,2024-01,1,0,1,32.8,3.7,5.0
Bronx,10454,2024-03,1,0,2,42.7,4.4,5.0
Bronx,10454,2024-04,1,0,0,53.3,4.5,5.0
Bronx,10454,2024-09,2,0,2,68.2,4.3,5.0
Bronx,10456,2024-04,1,0,1,53.3,4.5,5.0
Bronx,10456,2024-06,2,0,2,71.7,4.4,5.0
Bronx,10457,2024-01,1,0,1,32.8,3.7,5.0
Bronx,10457,2024-06,1,0,1,71.7,4.4,5.0
Bronx,10457,2024-08,1,0,1,75.5,4.4,5.0
Bronx,10457,2024-12,1,0,1,37.8,4.0,5.0
Bronx,10458,2024-02,1,0,0,35.5,3.1,5.0
Bronx,10458,2024-03,1,0,1,42.7,4.4,5.0
Bronx,10458,2024-04,1,0,1,53.3,4.5,5.0
Bronx,10459,2024-05,1,0,1,62.6,4.2,5.0
Bronx,10459,2024-06,2,0,2,71.7,4.4,5.0
Bronx,10460,2024-01,1,0,1,32.8,3.7,5.0
Bronx,10461,2024-05,1,0,1,62.6,4.2,4.0
Bronx,10461,2024-09,2,0,2,68.2,4.3,4.0
Bronx,10463,2024-05,1,0,0,62.6,4.2,1.0
Bronx,10464,2024-08,1,0,1,75.5,4.4,1.0
Bronx,10467,2024-02,1,0,1,35.5,3.1,4.0
Bronx,10467,2024-05,1,0,1,62.6,4.2,4.0
Bronx,10467,2024-08,2,0,1,75.5,4.4,4.0
Bronx,10467,2024-10,1,0,1,57.2,4.4,4.0
Bronx,10468,2024-08,1,0,1,75.5,4.4,4.0
Bronx,10468,2024-09,1,0,0,68.2,4.3,4.0
Bronx,10468,2024-11,1,0,1,47.9,4.0,4.0
Bronx,10469,2024-07,1,0,0,76.7,4.6,5.0
