Variable,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,-9.677109918727577,10.237126720097752,-0.9452955095035859,0.3445080303189385,-29.741509595291824,10.387289757836669
C(Borough)[T.Brooklyn],2.661522337586876,3.2264239563677535,0.8249140142708236,0.4094204093711671,-3.662152415751152,8.985197090924904
C(Borough)[T.Manhattan],6.34825703608457,5.631942802338,1.1271877678603563,0.2596631011194733,-4.690148019487495,17.386662091656635
C(Borough)[T.Queens],2.0101920179077464,2.607620372457299,0.7708913610049134,0.44077132816791964,-3.100649997461481,7.121034033276974
C(Borough)[T.Staten Island],-12.818815330746975,12570.168105976341,-0.0010197807398178245,0.9991863328333245,-24649.89558265844,24624.257951996948
AvgTemp,0.03908169903745831,0.04437857088761858,0.8806434785028628,0.37851081796929564,-0.04789870158763185,0.12606209966254847
AvgPrecip,-1.8931737731551372,1.4590257971071665,-1.2975601781056667,0.1944385135730028,-4.752811788000027,0.9664642416897533
HVI_w,2.3465998745837036,2.0609667237838085,1.1385918304762777,0.25487343743739177,-1.6928206773680712,6.386020426535478
