BIN,Accident Report ID,Incident Date,Record Type Description,Check2 Description,Fatality,Injury,House Number,Street Name,Borough,Block,Lot,Postcode,Latitude,Longitude,Community Board,Council District,BBL,Census Tract (2020),Neighborhood Tabulation Area (NTA) (2020)
3816613,43379,6/14/2024,Accident,Mechanical Construction Equipment,0,1,97,GLENMORE AVENUE,Brooklyn,3692,1,11212,40.671537,-73.907191,316,37,3036920001,908,BK1602
2010963,42727,1/19/2024,Accident,Worker Fell,0,1,1763,WEST FARMS ROAD,Bronx,3015,97,10460,40.835683,-73.882143,203,17,2030150097,161,BX0303
3429652,44057,12/12/2024,Accident,Other Construction Related,0,1,276,WEIRFIELD STREET,Brooklyn,3405,1,11221,40.693039,-73.909199,304,37,3034050001,437,BK0402
3031228,43508,7/15/2024,Accident,Other Construction Related,0,1,685,NOSTRAND AVENUE,Brooklyn,1234,1,11216,40.673817,-73.950117,308,36,3012340001,31701,BK0802
1033691,42837,2/17/2024,Accident,Worker Fell,0,1,720,WEST END AVENUE,Manhattan,1243,1,10025,40.794723,-73.973581,107,7,1012437505,183,MN0702
3044052,42984,3/19/2024,Accident,Other Construction Related,0,2,148,STUYVESANT AVENUE,Brooklyn,1620,45,11221,40.690316,-73.933532,303,36,3016200045,291,BK0302
4018225,43133,4/15/2024,Incident,Other Construction Related,0,0,22-63,26 STREET,Queens,856,7,11105,40.776956,-73.915371,401,22,4008560007,101,QN0101
1013685,43773,9/25/2024,Accident,Material Failure (Fell),0,1,307,WEST 39 STREET,Manhattan,763,31,10018,40.755569,-73.99172,104,3,1007630031,115,MN0402
3008793,43371,6/12/2024,Incident,Scaffold/Shoring Installations,0,0,131,COFFEY STREET,Brooklyn,597,15,11231,40.676712,-74.01485,306,38,3005970015,5301,BK0601
1015583,42862,2/21/2024,Accident,Other Construction Related,0,1,200,5 AVENUE,Manhattan,825,31,10010,40.741865,-73.989365,105,3,1008250031,58,MN0501
1090832,44041,12/9/2024,Accident,Worker Fell,0,1,125,GREENWICH STREET,Manhattan,51,14,10006,40.709174,-74.013057,101,1,1000517502,13,MN0101
1089192,43610,8/9/2024,Incident,Other Construction Related,0,0,375,WEST 207 STREET,Manhattan,2188,1,10034,40.863599,-73.916537,112,10,1021887501,299,MN1203
2130961,43464,7/2/2024,Accident,Worker Fell,0,2,120,EAST 144 STREET,Bronx,2344,112,10451,40.816951,-73.929876,201,8,2023440112,6301,BX0401
1036505,43193,4/29/2024,Accident,Other Construction Related,0,1,425,PARK AVENUE,Manhattan,1310,1,10022,40.760512,-73.971541,105,4,1013100001,100,MN0604
2130573,43042,3/30/2024,Notification,Other Construction Related,0,0,1940,TURNBULL AVENUE,Bronx,3672,30,10473,40.822884,-73.857564,209,18,2036720030,16,BX0902
3429743,43460,7/1/2024,Accident,Worker Fell,0,1,335,BOND STREET,Brooklyn,445,1,11231,40.679018,-73.990179,306,39,3004450001,75,BK0601
1010638,43179,4/24/2024,Accident,Worker Fell,0,1,132,WEST 14 STREET,Manhattan,609,20,10011,40.737806,-73.997922,102,3,1006090020,71,MN0203
3058215,43507,7/15/2024,Accident,Worker Fell,0,1,71,PRINCE STREET,Brooklyn,2050,100,11201,40.695332,-73.982413,302,35,3020500100,1501,BK0202
3425060,42877,2/26/2024,Accident,Worker Fell,0,1,1020,ROGERS AVENUE,Brooklyn,5137,25,11226,40.645445,-73.951918,317,40,3051370025,79202,BK1701
1091788,43444,6/27/2024,Accident,Worker Fell,0,1,255,EAST 39 STREET,Manhattan,920,28,10016,40.748247,-73.974347,106,4,,88,MN0603
1087645,43237,5/9/2024,Notification,Other Construction Related,0,1,3880,9 AVENUE,Manhattan,2189,60,10034,40.864118,-73.916764,112,10,1021890060,299,MN1203
3138044,42780,2/2/2024,Accident,Material Failure (Fell),1,0,1266,50 STREET,Brooklyn,5648,34,11219,40.634951,-73.993518,312,44,3056480034,220,BK1202
3192735,43398,6/18/2024,Accident,Worker Fell,0,1,2110,EAST 1 STREET,Brooklyn,7127,9,11223,40.59697,-73.970509,315,44,3071270009,396,BK1501
3429272,43091,4/8/2024,Accident,Other Construction Related,0,1,18,INDIA STREET,Brooklyn,2538,1,11222,40.731774,-73.9604,301,33,3025380001,565,BK0101
3429452,43588,8/5/2024,Incident,Other Construction Related,0,0,548,UTICA AVENUE,Brooklyn,4603,1,11203,40.659935,-73.931266,309,41,3046030001,878,BK1703
1022547,42844,2/19/2024,Accident,Worker Fell,0,1,650,1 AVENUE,Manhattan,969,1,10016,40.745817,-73.972016,106,4,1009690001,8601,MN0603
3000605,42814,2/12/2024,Accident,Mechanical Construction Equipment,0,1,275,ATLANTIC AVENUE,Brooklyn,175,1,11201,40.688896,-73.989969,302,33,3001750001,43,BK0202
3345008,43303,5/29/2024,Accident,Mechanical Construction Equipment,0,1,195,SCHOLES STREET,Brooklyn,3027,1,11206,40.708974,-73.941524,301,34,3030270001,49301,BK0104
3049703,43370,6/12/2024,Incident,Other Construction Related,0,0,363,KOSCIUSZUKO STREET,Brooklyn,1782,46,,,,,,,,
2053834,43553,7/25/2024,Incident,Scaffold/Shoring Installations,0,0,2721,COLDEN AVENUE,Bronx,4516,46,10469,40.866003,-73.859608,211,13,2045160046,342,BX1104
1023166,42686,1/11/2024,Accident,Worker Fell,0,1,159,WEST 53 STREET,Manhattan,1006,7501,10019,40.762713,-73.981261,105,4,1010067501,131,MN0502
4436926,43550,7/24/2024,Accident,Scaffold/Shoring Installations,0,1,34-35,44 STREET,Queens,704,1,11101,40.754212,-73.918442,401,22,4007040001,159,QN0104
3398454,42668,1/8/2024,Accident,Worker Fell,0,1,8,GRAND AVENUE,Brooklyn,1877,27,11205,40.697354,-73.964813,302,35,3018770027,211,BK0203
3255546,43141,4/16/2024,Incident,Scaffold/Shoring Installations,0,0,280,NEVINS STREET,Brooklyn,432,25,11217,40.679652,-73.987035,306,39,3004320025,11901,BK0601
1082732,43240,5/9/2024,Accident,Scaffold/Shoring Installations,0,1,484,2 AVENUE,Manhattan,934,1,10016,40.740581,-73.978925,106,2,1009340001,66,MN0603
