BIN,Accident Report ID,Incident Date,Record Type Description,Check2 Description,Fatality,Injury,House Number,Street Name,Borough,Block,Lot,Postcode,Latitude,Longitude,Community Board,Council District,BBL,Census Tract (2020),Neighborhood Tabulation Area (NTA) (2020)
1090634,42803,2/8/2024,Accident,Worker Fell,0,1,36,WEST 38 STREET,Manhattan,839,67,10018,40.751493,-73.984011,105,4,1008390067,84,MN0502
3126513,43073,4/4/2024,Incident,Other Construction Related,0,0,4009,16 AVENUE,Brooklyn,5382,7,11218,40.635957,-73.980378,312,39,3053820007,478,BK1202
3002772,42757,1/29/2024,Incident,Other Construction Related,0,0,179,ATLANTIC AVENUE,Brooklyn,276,13,11201,40.690069,-73.993708,302,33,3002760013,9,BK0201
1091739,43760,9/20/2024,Incident,Material Failure (Fell),0,0,40,WEST 137 STREET,Manhattan,1734,2,10037,40.814603,-73.938039,110,9,1017340002,212,MN1002
4436573,42864,2/22/2024,Accident,Worker Fell,0,1,Feb-29,50 AVENUE,Queens,17,1,11101,40.743502,-73.95808,402,26,4000170001,101,QN0201
3327682,43576,8/1/2024,Incident,Material Failure (Fell),0,0,1442,44 STREET,Brooklyn,5612,20,11219,40.635889,-73.986013,312,44,3056120020,232,BK1202
3146908,42978,3/18/2024,Incident,Other Construction Related,0,0,1039,71 STREET,Brooklyn,5898,68,11228,40.626019,-74.010728,310,38,3058980068,208,BK1002
3171055,43794,10/1/2024,Notification,Other Construction Related,0,0,1277,MCDONALD AVENUE,Brooklyn,6524,55,11230,40.621982,-73.975487,312,44,3065240055,450,BK1204
2130712,43599,8/6/2024,Incident,Other Construction Related,0,0,779,BURKE AVENUE,Bronx,4603,26,10467,40.871394,-73.863939,212,12,2046030025,372,BX1201
1010613,43056,4/2/2024,Accident,Other Construction Related,0,1,118,WEST 13 STREET,Manhattan,608,29,10011,40.736996,-73.998138,102,3,1006087506,71,MN0203
4619459,42690,1/12/2024,Accident,Worker Fell,0,1,23-15,44 ROAD,Queens,436,1,11101,40.748365,-73.944557,402,26,4004360001,1903,QN0201
3339963,43764,9/20/2024,Accident,Scaffold/Shoring Installations,0,1,275,79 STREET,Brooklyn,5968,52,11209,40.628777,-74.029833,310,47,3059680052,64,BK1001
4624423,43296,5/28/2024,Accident,Worker Fell,0,1,42-06,ORCHARD STREET,Queens,265,13,11101,40.74817,-73.938805,402,26,4002650013,1902,QN0201
3425050,43512,7/16/2024,Accident,Worker Fell,0,1,350,Kent Ave,Brooklyn,2414,7502,11249,40.712706,-73.967694,301,33,3024147502,551,BK0102
3429214,42851,2/20/2024,Accident,Worker Fell,0,1,955,STERLING PLACE,Brooklyn,1242,70,11213,40.672347,-73.946733,308,36,3012427501,341,BK0802
1089807,43131,4/15/2024,Accident,Worker Fell,0,1,76,11 AVENUE,Manhattan,689,17,10011,40.745183,-74.008236,104,3,1006897501,9901,MN0401
3429621,43404,6/20/2024,Incident,Excavation/Soil Work,0,0,875,ERSKINE STREET,Brooklyn,4586,495,11239,40.65528,-73.867721,305,42,,107001,BK0504
4619459,42708,1/16/2024,Accident,Worker Fell,0,1,23-15,44 ROAD,Queens,436,1,11101,40.748365,-73.944557,402,26,4004360001,1903,QN0201
1033691,44620,5/22/2025,Accident,Other Construction Related,0,1,720,WEST END AVENUE,Manhattan,1243,1,10025,40.794723,-73.973581,107,7,1012437505,183,MN0702
1089192,43899,10/30/2024,Accident,Worker Fell,0,1,375,WEST 207 STREET,Manhattan,2188,1,10034,40.863599,-73.916537,112,10,1021887501,299,MN1203
2008327,43229,5/8/2024,Accident,Material Failure (Fell),0,1,1550,INWOOD AVENUE,Bronx,2859,30,10452,40.844082,-73.916359,204,16,2028590030,209,BX0403
4047331,43406,6/20/2024,Incident,Other Construction Related,0,0,98-17,HORACE HARDING EXPRESSWAY,Queens,1918,95,11368,40.73552,-73.860392,404,21,4019180095,455,QN0402
3429397,43677,8/27/2024,Notification,Worker Fell,0,1,705,FRANKLIN AVENUE,Brooklyn,1231,1,11238,40.674468,-73.956584,308,35,3012310001,221,BK0802
4047330,43233,5/8/2024,Accident,Worker Fell,0,1,98-25,HORACE HARDING EXPRESSWAY,Queens,1918,90,11368,40.735687,-73.859814,404,21,4019180090,455,QN0402
1091783,43246,5/10/2024,Accident,Worker Fell,0,1,133,EAST 55 STREET,Manhattan,1310,14,10022,40.75973,-73.970303,105,4,1013100014,100,MN0604
1089192,42797,2/7/2024,Accident,Mechanical Construction Equipment,0,1,3875,9 AVENUE,Manhattan,2188,1,10034,40.86403,-73.916804,112,10,1021887501,299,MN1203
1061356,43567,7/30/2024,Accident,Worker Fell,0,1,410,WEST 126 STREET,Manhattan,2060,40,10027,40.812239,-73.954005,109,7,1019660077,20901,MN0901
1091635,42783,2/2/2024,Accident,Worker Fell,0,1,600,WEST 125 STREET,Manhattan,1995,26,10027,40.815974,-73.958569,109,7,1019950026,211,MN0901
1034211,43291,5/24/2024,Accident,Worker Fell,0,1,520,5 AVENUE,Manhattan,1259,35,10036,40.754421,-73.980213,105,4,1012590035,96,MN0502
3007353,43006,3/23/2024,Accident,Worker Fell,0,1,499,PRESIDENT STREET,Brooklyn,440,47,11215,40.678027,-73.986657,306,39,3004400001,11901,BK0601
3192734,43606,8/8/2024,Accident,Worker Fell,0,1,2102,EAST 1 STREET,Brooklyn,7127,9,11223,40.59705,-73.970523,315,44,3071270009,396,BK1501
3000370,42795,2/6/2024,Accident,Other Construction Related,0,1,9,DE KALB AVENUE,Brooklyn,149,100,11201,40.689985,-73.98254,302,33,3001497503,1502,BK0202
2805203,42775,2/1/2024,Accident,Mechanical Construction Equipment,0,1,101,EAST 150 STREET,Bronx,2354,1,10451,40.820236,-73.929612,204,8,,6301,BX0401
3173506,43108,4/11/2024,Incident,Other Construction Related,0,0,1597,MCDONALD AVENUE,Brooklyn,6583,1,11230,40.613915,-73.973963,312,44,3065830001,440,BK1204
3429585,43838,10/15/2024,Notification,Other Construction Related,0,1,420,CARROLL STREET,Brooklyn,453,1,11215,40.677917,-73.988488,306,39,3004530001,11901,BK0601
1038655,42703,1/15/2024,Accident,Mechanical Construction Equipment,0,1,25,TUDOR CITY PLACE,Manhattan,1334,22,10017,40.748545,-73.970799,106,4,1013340022,88,MN0603
3029709,42966,3/14/2024,Accident,Material Failure (Fell),0,1,931,CARROLL STREET,Brooklyn,1188,58,11225,40.668183,-73.959685,309,35,3011880058,213,BK0901
2129483,43757,9/19/2024,Incident,Mechanical Construction Equipment,0,0,2680,MORRIS AVENUE,Bronx,3316,11,10468,40.867472,-73.895959,207,14,2033160011,40304,BX0702
2000140,43763,9/20/2024,Accident,Worker Fell,0,1,91,BRUCKNER BOULEVARD,Bronx,2278,1,10454,40.805639,-73.924596,201,8,2022780001,1902,BX0101
3000605,43664,8/23/2024,Accident,Other Construction Related,0,1,275,ATLANTIC AVENUE,Brooklyn,175,1,11201,40.688896,-73.989969,302,33,3001750001,43,BK0202
1091789,43493,7/10/2024,Accident,Worker Fell,0,1,648,WEST 48 STREET,Manhattan,1095,11,10036,40.765045,-73.996552,104,3,1010950011,12902,MN0402
3017393,43621,8/12/2024,Incident,Other Construction Related,0,0,292,20 STREET,Brooklyn,891,34,11215,40.660872,-73.991137,307,39,3008910034,145,BK0702
3106599,43363,6/10/2024,Incident,Excavation/Soil Work,0,0,532,ALBANY AVENUE,Brooklyn,4794,26,11203,40.661886,-73.93994,309,40,3047940026,806,BK0902
2023709,42716,1/18/2024,Accident,Worker Fell,0,1,1120,Bronx River Avenue,Bronx,3735,12,10472,40.825987,-73.883399,209,17,2037350012,52,BX0901
4136569,42698,1/14/2024,Incident,Scaffold/Shoring Installations,0,0,36-43,BELL BOULEVARD,Queens,6176,47,11361,40.767766,-73.773147,411,19,4061760047,1123,QN1102
3345008,43393,6/18/2024,Accident,Other Construction Related,0,1,201,SCHOLES STREET,Brooklyn,3027,1,11206,40.708995,-73.94129,301,34,3030270001,49301,BK0104
2130688,43558,7/26/2024,Incident,Mechanical Construction Equipment,0,0,2060,BARTOW AVENUE,Bronx,5141,1085,10475,40.86948,-73.828246,210,12,2051411085,46205,BX1004
1064218,43173,4/23/2024,Accident,Other Construction Related,0,1,4650,BROADWAY,Manhattan,2175,1,10040,40.862326,-73.929553,112,10,1021750001,287,MN1202
3006610,42903,3/2/2024,Incident,Mechanical Construction Equipment,0,0,251,DOUGLAS STREET,Brooklyn,412,50,11217,40.680708,-73.985308,306,39,3004120050,127,BK0601
3071075,42909,3/4/2024,Incident,Other Construction Related,0,0,59,MONTROSE AVENUE,Brooklyn,3050,36,11206,40.706918,-73.947578,301,34,3030500036,511,BK0104
2003157,43171,4/22/2024,Incident,Worker Fell,0,1,1182,WOODYCREST AVENUE,Bronx,2510,3,10452,40.836723,-73.924835,204,16,2025100003,199,BX0402
3054191,42917,3/6/2024,Incident,Excavation/Soil Work,0,0,67,TAAFFE PLACE,Brooklyn,1883,7,11205,40.69691,-73.960735,303,33,3018830007,1237,BK0301
3255576,42973,3/17/2024,Incident,Other Construction Related,0,0,4024,12 AVENUE,Brooklyn,5588,45,11218,40.641217,-73.989266,312,39,3055880045,224,BK1202
4620885,43183,4/26/2024,Accident,Worker Fell,0,1,26-32,JACKSON AVENUE,Queens,267,21,11101,40.747551,-73.94113,402,26,4002670021,1902,QN0201
1038656,43252,5/13/2024,Incident,Scaffold/Shoring Installations,0,0,320,EAST 42 STREET,Manhattan,1334,41,10017,40.749514,-73.971481,106,4,1013340041,88,MN0603
1087587,43415,6/22/2024,Notification,Other Construction Related,0,1,711,12 AVENUE,Manhattan,1109,101,10019,40.767496,-73.996267,104,3,1011090101,13501,MN0402
1083026,43827,10/11/2024,Accident,Mechanical Construction Equipment,0,1,2,PENN PLAZA,Manhattan,781,2,10121,40.750017,-73.991345,105,3,1007810002,101,MN0501
1017180,44791,7/11/2025,Accident,Other Construction Related,0,1,218,MADISON AVENUE,Manhattan,866,16,10016,40.749146,-73.981965,105,4,1008660016,82,MN0502
3429267,43230,5/8/2024,Accident,Worker Fell,0,1,60,CEDAR STREET,Brooklyn,3232,5,11221,40.69721,-73.927329,304,34,3032320005,423,BK0401
1088177,44790,7/11/2025,Accident,Other Construction Related,0,1,345,EAST 17 STREET,Manhattan,923,26,10003,40.733687,-73.982179,106,2,1009230026,48,MN0602
2005352,43317,5/31/2024,Accident,Worker Fell,0,1,889,DAWSON STREET,Bronx,2697,1,10459,40.81977,-73.897624,202,17,2026970001,87,BX0202
3429317,43275,5/20/2024,Accident,Worker Fell,0,1,89,DEKALB AVENUE,Brooklyn,2085,15,11201,40.689883,-73.979793,302,35,,3101,BK0203
3255289,43023,3/26/2024,Accident,Other Construction Related,0,1,2940,WEST 15 STREET,Brooklyn,7063,12,11224,40.576271,-73.982552,313,47,3070630012,348,BK1302
3188894,43731,9/11/2024,Accident,Scaffold/Shoring Installations,0,1,2832,WEST 23 STREET,Brooklyn,7015,15,11224,40.57762,-73.990378,313,47,3070150015,326,BK1302
3429069,44789,7/11/2025,Accident,Other Construction Related,0,1,609,PARK AVENUE,Brooklyn,1719,1,11206,40.697431,-73.951041,303,36,,255,BK0301
3344982,42790,2/5/2024,Accident,Other Construction Related,0,1,223,TEN EYCK WALK,Brooklyn,3027,1,11206,40.710527,-73.940664,301,34,3030270001,49301,BK0104
1088394,43803,10/3/2024,Accident,Worker Fell,0,1,125,WHITE STREET,Manhattan,167,1,10013,40.716715,-74.000346,101,1,1001670001,2901,MN0102
2004136,44776,7/8/2025,Accident,Worker Fell,0,1,581,AUSTIN PLACE,Bronx,2603,83,10455,40.811248,-73.901488,202,17,2026030083,83,BX0202
1013043,43354,6/8/2024,Accident,Material Failure (Fell),0,1,111,8 AVENUE,Manhattan,739,1,10011,40.740704,-74.001844,104,3,1007390001,83,MN0401
3061068,43705,9/5/2024,Accident,Worker Fell,0,1,316,RUTLEDGE STREET,Brooklyn,2228,16,11211,40.705427,-73.951825,301,33,3022280016,529,BK0103
2128965,43436,6/26/2024,Accident,Worker Fell,0,1,1001,WHITLOCK AVENUE,Bronx,2756,85,10459,40.823427,-73.887057,202,17,2027560085,119,BX0202
4624981,42842,2/19/2024,Accident,Worker Fell,0,1,143-06,135 AVENUE,Queens,12099,30,11436,40.668292,-73.796008,412,28,4120990030,792,QN1203
1001027,42928,3/8/2024,Accident,Material Failure (Fell),0,1,140,BROADWAY,Manhattan,48,1,10005,40.709043,-74.010626,101,1,1000480001,7,MN0101
1009006,43791,10/1/2024,Accident,Worker Fell,0,1,808,BROADWAY,Manhattan,557,7501,10003,40.732621,-73.991232,102,2,1005577501,61,MN0202
3429327,43434,6/26/2024,Accident,Other Construction Related,0,1,625,FULTON STREET,Brooklyn,2094,1,11201,40.688566,-73.980045,302,35,3020940001,33,BK0203
3429090,43555,7/25/2024,Accident,Material Failure (Fell),0,1,305,CHESTER STREET,Brooklyn,3560,1,11212,40.664368,-73.910337,316,41,3035600001,924,BK1602
3429346,43450,6/28/2024,Accident,Worker Fell,0,1,381,VAN BRUNT STREET,Brooklyn,587,1,11231,40.676339,-74.014075,306,38,3005870001,5301,BK0601
3395377,42747,1/25/2024,Accident,Worker Fell,0,1,16,DUPONT STREET,Brooklyn,2494,6,11222,40.735419,-73.95985,301,33,3024940006,56302,BK0101
3076057,42771,1/31/2024,Accident,Worker Fell,0,1,1333,BROADWAY,Brooklyn,3321,152,11221,40.690065,-73.923046,304,37,3033210152,397,BK0402
3007353,43381,6/14/2024,Accident,Worker Fell,0,1,499,PRESIDENT STREET,Brooklyn,440,47,11215,40.678027,-73.986657,306,39,3004400001,11901,BK0601
1084081,43305,5/28/2024,Notification,Mechanical Construction Equipment,0,0,160,CONVENT AVENUE,Manhattan,1957,200,10031,40.819196,-73.950221,109,9,1019570200,21703,MN0902
3140722,43213,5/5/2024,Incident,Other Construction Related,0,0,5812,13 AVENUE,Brooklyn,5704,43,11219,40.629859,-73.997503,312,44,3057040043,192,BK1202
4620900,42732,1/22/2024,Accident,Worker Fell,0,1,72-01,QUEENS BOULEVARD,Queens,1352,125,11377,40.739401,-73.891208,402,26,4013520125,485,QN0401
2128965,43326,6/3/2024,Accident,Worker Fell,0,1,1001,WHITLOCK AVENUE,Bronx,2756,85,10459,40.823427,-73.887057,202,17,2027560085,119,BX0202
3429402,43639,8/16/2024,Accident,Worker Fell,0,1,570,FULTON STREET,Brooklyn,2106,35,11217,40.688373,-73.979605,302,35,3021060035,33,BK0203
1091704,43808,10/7/2024,Accident,Worker Fell,0,1,162,EAST 36 STREET,Manhattan,891,44,10016,40.747185,-73.977628,106,4,1008910044,80,MN0603
1085694,43741,9/13/2024,Accident,Other Construction Related,0,1,540,1 AVENUE,Manhattan,962,108,10016,40.742066,-73.974757,106,4,1009620108,62,MN0603
2007580,43598,8/6/2024,Accident,Other Construction Related,0,1,1840,ANTHONY AVENUE,Bronx,2803,2,10457,40.847574,-73.903653,205,15,2028030002,23302,BX0502
4624047,42824,2/14/2024,Accident,Worker Fell,0,1,20-Oct,BORDEN AVENUE,Queens,37,7,11101,40.741194,-73.953794,402,26,,104,QN0201
1091745,44793,7/12/2025,Accident,Material Failure (Fell),0,1,80,CLARKSON STREET,Manhattan,596,30,10014,40.729793,-74.010297,102,3,1005960030,69,MN0203
1001021,43711,9/6/2024,Accident,Mechanical Construction Equipment,0,1,28,LIBERTY STREET,Manhattan,44,1,10005,40.708115,-74.008768,101,1,1000440001,7,MN0101
4136294,42718,1/18/2024,Incident,Other Construction Related,0,0,36-38,209 STREET,Queens,6160,25,11361,40.766168,-73.778401,411,19,4061600025,1129,QN1102
4624493,43501,7/12/2024,Accident,Worker Fell,0,1,126-55,39 AVENUE,Queens,1833,135,11368,40.756726,-73.841343,407,21,4018330135,38301,QN0707
3429227,43516,7/16/2024,Accident,Worker Fell,0,1,65,DUPONT STREET,Brooklyn,2487,17,11222,40.735668,-73.957396,301,33,3024870017,56301,BK0101
4623739,43088,4/8/2024,Accident,Worker Fell,0,1,21-Feb,MALT DRIVE,Queens,11,1,11101,40.740057,-73.959309,402,26,4000110001,101,QN0201
5046954,43349,6/7/2024,Incident,Excavation/Soil Work,0,0,36,WILSON STREET,Staten Island,3191,102,10304,40.597449,-74.090804,502,50,5031910102,9601,SI0201
4619459,43241,5/9/2024,Accident,Worker Fell,0,1,23-15,44 ROAD,Queens,436,1,11101,40.748365,-73.944557,402,26,4004360001,1903,QN0201
4433860,43892,10/28/2024,Accident,Worker Fell,0,1,104-20,QUEENS BOULEVARD,Queens,3175,1,11375,40.723777,-73.848998,406,29,4031750001,71305,QN0602
4433859,42777,2/1/2024,Accident,Worker Fell,0,1,104-60,QUEENS BOULEVARD,Queens,3175,1,11375,40.723483,-73.848497,406,29,4031750001,71305,QN0602
3429398,44402,3/19/2025,Accident,Worker Fell,0,1,890,ERSKINE STREET,Brooklyn,4586,926,11239,40.657312,-73.868762,305,42,3045860926,107001,BK0504
3329436,43922,11/4/2024,Incident,Other Construction Related,0,0,380,FULTON STREET,Brooklyn,154,19,11201,40.691517,-73.987516,302,33,3001540019,37,BK0202
3429721,42739,1/23/2024,Incident,Excavation/Soil Work,0,0,147,BAY 11 STREET,Brooklyn,6396,14,11228,40.607681,-74.010999,311,50,,172,BK1102
1076193,42850,2/20/2024,Incident,Other Construction Related,0,0,1585,BROADWAY,Manhattan,1019,7502,10036,40.760216,-73.985334,105,3,1010197502,125,MN0502
2057045,43211,5/3/2024,Accident,Material Failure (Fell),0,1,800,EAST GUN HILL ROAD,Bronx,4633,40,10467,40.875953,-73.86197,212,12,2046330040,372,BX1201
1091739,43184,4/26/2024,Incident,Material Failure (Fell),0,0,40,WEST 137 STREET,Manhattan,1734,2,10037,40.814603,-73.938039,110,9,1017340002,212,MN1002
1009429,43522,7/17/2024,Accident,Other Construction Related,0,1,20,5 AVENUE,Manhattan,572,38,10011,40.732893,-73.996323,102,2,1005720038,63,MN0202
3429214,43250,5/13/2024,Accident,Material Failure (Fell),0,1,955,STERLING PLACE,Brooklyn,1242,70,11213,40.672347,-73.946733,308,36,3012427501,341,BK0802
4548919,43541,7/22/2024,Incident,Other Construction Related,0,0,35-09,JUNCTION BOULEVARD,Queens,1737,58,11368,40.753055,-73.871634,403,21,4017370058,37502,QN0303
4619459,43669,8/26/2024,Accident,Other Construction Related,0,1,23-15,44 ROAD,Queens,436,1,11101,40.748365,-73.944557,402,26,4004360001,1903,QN0201
3332221,43492,7/10/2024,Accident,Other Construction Related,0,1,465,COLUMBIA STREET,Brooklyn,538,1,11231,40.676375,-74.006861,306,38,3005380001,85,BK0601
3116905,42930,3/8/2024,Accident,Worker Fell,0,1,158,MARTENSE STREET,Brooklyn,5090,35,11226,40.651471,-73.95386,317,40,3050900035,822,BK1701
3428561,43236,5/9/2024,Accident,Mechanical Construction Equipment,0,1,1215,FULTON STREET,Brooklyn,1842,15,11216,40.680609,-73.952845,303,36,3018420015,245,BK0301
3327107,43050,4/1/2024,Accident,Worker Fell,0,1,2886,ATLANTIC AVENUE,Brooklyn,3965,11,11207,40.677116,-73.887853,305,37,3039650011,1170,BK0501
1034211,43734,9/12/2024,Accident,Worker Fell,0,1,520,5 AVENUE,Manhattan,1259,35,10036,40.754421,-73.980213,105,4,1012590035,96,MN0502
1044092,43502,7/12/2024,Accident,Other Construction Related,0,1,1345,3 AVENUE,Manhattan,1431,46,10075,40.772846,-73.958332,108,5,1014310046,134,MN0801
3058228,43428,6/25/2024,Accident,Other Construction Related,0,1,111,WILLOUGHBY STREET,Brooklyn,2058,47,11201,40.69214,-73.984628,302,33,3020580047,1502,BK0202
4620885,43199,5/1/2024,Accident,Worker Fell,0,1,26-32,JACKSON AVENUE,Queens,267,21,11101,40.747551,-73.94113,402,26,4002670021,1902,QN0201
4436927,42895,2/29/2024,Accident,Worker Fell,0,1,44-01,NORTHERN BOULEVARD,Queens,704,1,11101,40.753677,-73.918732,401,22,4007040001,159,QN0104
1009430,43151,4/18/2024,Incident,Excavation/Soil Work,0,0,16,5 AVENUE,Manhattan,572,41,10011,40.732624,-73.996092,102,2,1005720041,63,MN0202
1008832,42878,2/27/2024,Incident,Scaffold/Shoring Installations,0,0,1,UNIVERSITY PLACE,Manhattan,548,1,10003,40.730785,-73.995486,102,2,1005480001,59,MN0202
3831411,43679,8/27/2024,Incident,Other Construction Related,0,0,502,WILSON AVENUE,Brooklyn,3397,36,11221,40.692153,-73.910711,304,37,3033970036,413,BK0402
2014932,43609,8/9/2024,Accident,Other Construction Related,0,1,2275,LORING PLACE,Bronx,3225,77,10468,40.861175,-73.908825,207,14,2032250077,255,BX0701
2129342,43613,8/9/2024,Incident,Mechanical Construction Equipment,0,0,1746,ANDREWS AVENUE SOUTH,Bronx,2878,183,10453,40.85037,-73.917222,205,14,2028780183,21501,BX0501
3429317,43771,9/25/2024,Accident,Worker Fell,0,1,85,DEKALB AVENUE,Brooklyn,2085,15,11201,40.689889,-73.979937,302,35,3020860034,3101,BK0203
3012902,43497,7/10/2024,Accident,Worker Fell,0,1,329,50 STREET,Brooklyn,782,56,11220,40.6472,-74.013777,307,38,3007820056,78,BK0702
2045727,43206,5/2/2024,Accident,Other Construction Related,0,1,1340,BLONDELL AVENUE,Bronx,4134,1,10461,40.841827,-73.842073,211,13,2041340001,284,BX1161
4436573,43111,4/12/2024,Accident,Worker Fell,0,1,Feb-29,50 AVENUE,Queens,17,1,11101,40.743502,-73.95808,402,26,4000170001,101,QN0201
5022434,43059,4/3/2024,Incident,Other Construction Related,0,0,5,DALEMERE ROAD,Staten Island,869,235,10304,40.597763,-74.101705,502,50,5008690235,17701,SI0203
3428579,43656,8/22/2024,Accident,Excavation/Soil Work,0,1,609,OSBORN STREET,Brooklyn,3628,9,11212,40.656983,-73.90555,316,42,3036280009,920,BK1602
3135716,42810,2/11/2024,Incident,Other Construction Related,0,0,4119,13 AVENUE,Brooklyn,5594,3,11219,40.639345,-73.987612,312,39,3055940003,232,BK1202
3074551,44799,7/14/2025,Incident,Other Construction Related,0,0,299,HIMROD STREET,Brooklyn,3270,47,11237,40.701919,-73.918081,304,37,3032700047,443,BK0401
3042822,43819,10/9/2024,Incident,Other Construction Related,0,0,27,MARCUS GARVEY BOULEVARD,Brooklyn,1579,3,11206,40.698807,-73.941194,303,36,3015790003,28501,BK0302
1080074,43153,4/18/2024,Accident,Material Failure (Fell),0,1,40,EAST 4 STREET,Manhattan,531,37,10003,40.727337,-73.992073,102,2,1005310037,5502,MN0202
1082732,43665,8/23/2024,Accident,Scaffold/Shoring Installations,0,1,484,2 AVENUE,Manhattan,934,1,10016,40.740581,-73.978925,106,2,1009340001,66,MN0603
3325287,43369,6/12/2024,Incident,Other Construction Related,0,0,88,STARR STREET,Brooklyn,3197,17,11237,40.702097,-73.926076,304,34,3031970017,429,BK0401
2130622,43126,4/15/2024,Accident,Material Failure (Fell),0,1,97,WEST 169 STREET,Bronx,2519,27,10452,40.839538,-73.923177,204,16,,211,BX0402
1030307,43542,7/22/2024,Accident,Excavation/Soil Work,0,1,537,WEST 59 STREET,Manhattan,1151,12,10019,40.770899,-73.98874,107,6,1011510012,147,MN0701
3326746,43346,6/7/2024,Accident,Worker Fell,0,1,2700,ATLANTIC AVENUE,Brooklyn,3689,12,11207,40.675937,-73.894603,305,37,3036890012,1198,BK0502
2130961,43411,6/21/2024,Accident,Worker Fell,0,1,120,EAST 144 STREET,Bronx,2344,112,10451,40.816951,-73.929876,201,8,2023440112,6301,BX0401
1090627,44094,12/24/2024,Incident,Other Construction Related,0,0,100,WEST 37 STREET,Manhattan,812,45,10018,40.751762,-73.98657,105,4,1008120045,109,MN0502
2019915,44092,12/24/2024,Incident,Scaffold/Shoring Installations,0,0,212,HARDING PARK,Bronx,3429,45,10473,40.805506,-73.856629,209,18,2034290045,2,BX0902
1087651,43800,10/3/2024,Incident,Other Construction Related,0,0,10,WEST END AVENUE,Manhattan,1151,7502,10023,40.771986,-73.990169,107,6,1011517502,147,MN0701
1079205,44100,12/26/2024,Incident,Mechanical Construction Equipment,0,0,46,CLAREMONT AVENUE,Manhattan,1989,1,10027,40.810179,-73.963608,109,7,1019890001,205,MN0901
4004870,44079,12/20/2024,Accident,Worker Fell,0,1,29-24,40 AVENUE,Queens,402,32,11101,40.75217,-73.93534,401,26,4004020032,31,QN0105
3113806,44069,12/17/2024,Notification,Worker Fell,0,1,3002,FOSTER AVENUE,Brooklyn,4995,26,11210,40.638609,-73.948086,317,45,3049950026,78802,BK1702
4035802,44088,12/23/2024,Accident,Worker Fell,0,1,34-20,JUNCTION BOULEVARD,Queens,1455,7,11372,40.754464,-73.872404,403,21,4014550007,27302,QN0301
3429227,44102,12/26/2024,Accident,Worker Fell,0,1,65,DUPONT STREET,Brooklyn,2487,17,11222,40.735668,-73.957396,301,33,3024870017,56301,BK0101
2001020,44091,12/24/2024,Accident,Worker Fell,0,1,261,GRAND CONCOURSE,Bronx,2344,1,10451,40.814,-73.929709,201,8,2023440001,6301,BX0401
1035732,43001,3/22/2024,Accident,Worker Fell,0,1,386,PARK AVENUE,Manhattan,1289,36,10022,40.759332,-73.972426,105,4,1012890036,102,MN0502
1084771,44124,1/2/2025,Accident,Worker Fell,1,0,301,PARK AVENUE,Manhattan,1304,7501,10022,40.756648,-73.974358,105,4,1013047501,100,MN0604
1044694,44118,12/31/2024,Accident,Worker Fell,0,1,337,EAST 64 STREET,Manhattan,1439,7503,10065,40.763336,-73.961093,108,5,1014397503,118,MN0801
1014759,44797,7/14/2025,Accident,Worker Fell,0,1,142,WEST 21 STREET,Manhattan,796,63,10011,40.742151,-73.99502,104,3,1007960063,87,MN0401
1000828,44103,12/27/2024,Accident,Worker Fell,0,1,63,WALL STREET,Manhattan,27,9,10005,40.705774,-74.008869,101,1,1000270009,7,MN0101
1084198,44097,12/26/2024,Accident,Material Failure (Fell),0,2,635,WEST 165 STREET,Manhattan,2138,40,10032,40.839928,-73.94254,112,10,1021380040,251,MN1201
1035371,44111,12/30/2024,Accident,Other Construction Related,0,1,343,MADISON AVENUE,Manhattan,1279,23,10017,40.754253,-73.97821,105,4,1012790023,94,MN0502
4438110,44117,12/31/2024,Accident,Other Construction Related,0,1,37-16,UNION STREET,Queens,4978,46,11354,40.762215,-73.827425,407,20,4049780046,871,QN0707
1085096,44128,1/5/2025,Incident,Scaffold/Shoring Installations,0,0,250,WEST 43 STREET,Manhattan,1014,55,10036,40.757301,-73.987883,105,3,1010140055,119,MN0502
1014167,43777,9/27/2024,Accident,Worker Fell,0,1,280,8 AVENUE,Manhattan,774,1,10001,40.746043,-73.997928,104,3,1007740001,91,MN0401
1084198,43732,9/12/2024,Accident,Other Construction Related,0,1,635,WEST 165 STREET,Manhattan,2138,40,10032,40.839928,-73.94254,112,10,1021380040,251,MN1201
3429855,43839,10/15/2024,Notification,Other Construction Related,0,1,452,THOMAS BOYLAND STREET,Brooklyn,3496,4,11212,40.669906,-73.913755,316,41,3034960004,902,BK1602
3058177,43720,9/9/2024,Accident,Material Failure (Fell),0,1,144,VANDERBILT AVENUE,Brooklyn,2046,84,11205,40.693625,-73.969939,302,35,3020467501,187,BK0203
1091781,44076,12/19/2024,Accident,Worker Fell,0,1,32,WEST 48 STREET,Manhattan,1263,55,10036,40.757978,-73.979783,105,4,1012630055,96,MN0502
2817041,43430,6/25/2024,Accident,Worker Fell,0,1,1010,WASHINGTON AVENUE,Bronx,2369,10,10456,40.826343,-73.909635,203,16,2023697503,18501,BX0301
1091692,43712,9/6/2024,Accident,Worker Fell,0,1,407,WEST 206 STREET,Manhattan,2203,9,10034,40.863178,-73.917911,112,10,1022037502,299,MN1203
1079205,44146,1/9/2025,Incident,Mechanical Construction Equipment,0,0,46,CLAREMONT AVENUE,Manhattan,1989,1,10027,40.810179,-73.963608,109,7,1019890001,205,MN0901
